Poll,Date,Year,Sample,dem,gop,Spread
Economist/YouGov,8/26 - 8/28,2018,1249 RV,45,39,Democrats +6
USA Today/Suffolk,8/23 - 8/28,2018,1000 RV,50,39,Democrats +11
IBD/TIPP,8/23 - 8/30,2018,857 RV,50,39,Democrats +11
Reuters/Ipsos,8/22 - 8/28,2018,2920 RV,47,34,Democrats +13
Harvard-Harris,8/22 - 8/23,2018,1330 RV,45,37,Democrats +8
Rasmussen Reports,8/19 - 8/23,2018,2500 LV,46,41,Democrats +5
NBC News/Wall St. Jrnl,8/18 - 8/22,2018,900 RV,50,42,Democrats +8
Economist/YouGov,8/19 - 8/21,2018,1247 RV,44,38,Democrats +6
FOX News,8/19 - 8/21,2018,1009 RV,49,38,Democrats +11
Reuters/Ipsos,8/15 - 8/21,2018,1885 RV,41,37,Democrats +4
Monmouth,8/15 - 8/19,2018,725 RV,48,43,Democrats +5
Rasmussen Reports,8/12 - 8/16,2018,2500 LV,44,44,Tie
Economist/YouGov,8/12 - 8/14,2018,1250 RV,44,40,Democrats +4
Reuters/Ipsos,8/8 - 8/14,2018,1860 RV,45,36,Democrats +9
Quinnipiac,8/9 - 8/13,2018,1175 RV,51,42,Democrats +9
CNN,8/9 - 8/12,2018,921 RV,52,41,Democrats +11
Pew Research,7/30 - 8/12,2018,3986 RV,46,39,Democrats +7
Rasmussen Reports,8/5 - 8/9,2018,2500 LV,48,41,Democrats +7
Economist/YouGov,8/5 - 8/7,2018,1289 RV,44,41,Democrats +3
Reuters/Ipsos,8/3 - 8/7,2018,1479 RV,41,39,Democrats +2
Rasmussen Reports,7/29 - 8/2,2018,2500 LV,45,41,Democrats +4
IBD/TIPP,7/26 - 8/2,2018,878 RV,45,45,Tie
Economist/YouGov,7/29 - 7/31,2018,1222 RV,44,40,Democrats +4
Reuters/Ipsos,7/27 - 7/31,2018,1571 RV,42,36,Democrats +6
Rasmussen Reports,7/22 - 7/26,2018,2500 LV,46,40,Democrats +6
Harvard-Harris,7/24 - 7/25,2018,1323 RV,43,36,Democrats +7
Economist/YouGov,7/22 - 7/24,2018,1203 RV,44,38,Democrats +6
Reuters/Ipsos,7/20 - 7/24,2018,1165 RV,42,37,Democrats +5
NPR/PBS/Marist,7/19 - 7/22,2018,923 RV,47,40,Democrats +7
Quinnipiac,7/18 - 7/23,2018,1177 RV,51,39,Democrats +12
Rasmussen Reports,7/15 - 7/19,2018,2500 LV,47,40,Democrats +7
NBC News/Wall St. Jrnl,7/15 - 7/18,2018,900 RV,49,43,Democrats +6
Economist/YouGov,7/15 - 7/17,2018,1272 RV,45,37,Democrats +8
Rasmussen Reports,7/8 - 7/12,2018,2500 LV,46,41,Democrats +5
Reuters/Ipsos,7/13 - 7/17,2018,2357 RV,44,35,Democrats +9
FOX News,7/9 - 7/11,2018,1007 RV,48,40,Democrats +8
Economist/YouGov,7/8 - 7/10,2018,1246 RV,42,38,Democrats +4
Reuters/Ipsos,7/6 - 7/10,2018,1295 RV,47,34,Democrats +13
Emerson,7/6 - 7/7,2018,900 RV,49,42,Democrats +7
Rasmussen Reports,7/1 - 7/5,2018,2500 LV,48,40,Democrats +8
Economist/YouGov,7/1 - 7/3,2018,1263 RV,42,38,Democrats +4
Rasmussen Reports,6/24 - 6/28,2018,2500 LV,46,40,Democrats +6
Reuters/Ipsos,6/28 - 7/2,2018,2252 RV,44,34,Democrats +10
Quinnipiac,6/27 - 7/1,2018,1020 RV,50,41,Democrats +9
Harvard-Harris,6/24 - 6/25,2018,1448 RV,45,36,Democrats +9
IBD/TIPP,6/21 - 6/29,2018,900 A,48,40,Democrats +8
Economist/YouGov,6/24 - 6/26,2018,1278 RV,43,38,Democrats +5
Reuters/Ipsos,6/22 - 6/26,2018,1199 RV,41,38,Democrats +3
Rasmussen Reports,6/17 - 6/21,2018,2500 LV,45,41,Democrats +4
Economist/YouGov,6/17 - 6/19,2018,1272 RV,44,37,Democrats +7
Reuters/Ipsos,6/15 - 6/19,2018,1604 RV,42,36,Democrats +6
USA Today/Suffolk,6/13 - 6/18,2018,1000 RV,45,39,Democrats +6
Quinnipiac,6/14 - 6/17,2018,905 RV,49,43,Democrats +6
CNN,6/14 - 6/17,2018,901 RV,50,42,Democrats +8
Gallup,6/11 - 6/17,2018,1346 RV,48,43,Democrats +5
Monmouth,6/12 - 6/13,2018,711 RV,48,41,Democrats +7
Rasmussen Reports,6/10 - 6/14,2018,2500 LV,45,41,Democrats +4
Economist/YouGov,6/10 - 6/12,2018,1308 RV,43,37,Democrats +6
Reuters/Ipsos,6/8 - 6/12,2018,2018 RV,45,35,Democrats +10
PPP (D),6/8 - 6/10,2018,679 RV,46,40,Democrats +6
Pew Research,6/5 - 6/12,2018,1608 RV,48,43,Democrats +5
Rasmussen Reports,6/3 - 6/7,2018,2500 LV,44,40,Democrats +4
FOX News,6/3 - 6/6,2018,1001 RV,48,39,Democrats +9
Economist/YouGov,6/3 - 6/5,2018,1292 RV,44,38,Democrats +6
Reuters/Ipsos,6/1 - 6/5,2018,1265 RV,43,32,Democrats +11
NBC News/Wall St. Jrnl,6/1 - 6/4,2018,900 RV,50,40,Democrats +10
Quinnipiac,5/31 - 6/5,2018,1223 RV,47,40,Democrats +7
IBD/TIPP,5/29 - 6/5,2018,905 A,47,40,Democrats +7
Rasmussen Reports,5/27 - 5/31,2018,2500 LV,45,41,Democrats +4
Economist/YouGov,5/27 - 5/29,2018,1279 RV,42,39,Democrats +3
Reuters/Ipsos,5/25 - 5/29,2018,1931 RV,39,37,Democrats +2
Rasmussen Reports,5/21 - 5/25,2018,2500 LV,43,42,Democrats +1
Harvard-Harris,5/21 - 5/22,2018,1347 RV,44,37,Democrats +7
Economist/YouGov,5/20 - 5/22,2018,1263 RV,43,38,Democrats +5
Reuters/Ipsos,5/18 - 5/22,2018,1080 RV,40,37,Democrats +3
Rasmussen Reports,5/13 - 5/17,2018,2500 LV,43,42,Democrats +1
Economist/YouGov,5/13 - 5/15,2018,1231 RV,42,37,Democrats +5
Reuters/Ipsos,5/11 - 5/15,2018,1290 RV,38,37,Democrats +1
Rasmussen Reports,5/6 - 5/10,2018,2500 LV,46,40,Democrats +6
CNN,5/2 - 5/5,2018,901 RV,47,44,Democrats +3
Economist/YouGov,5/6 - 5/8,2018,1232 RV,44,35,Democrats +9
Reuters/Ipsos,5/4 - 5/8,2018,1171 RV,39,38,Democrats +1
Economist/YouGov,4/29 - 5/1,2018,1273 RV,42,39,Democrats +3
Reuters/Ipsos,4/27 - 5/1,2018,1337 RV,43,37,Democrats +6
Pew Research,4/25 - 5/1,2018,1221 RV,48,43,Democrats +5
Monmouth,4/26 - 4/30,2018,681 RV,49,41,Democrats +8
Harvard-Harris,4/22 - 4/24,2018,1549 RV,43,34,Democrats +9
Economist/YouGov,4/22 - 4/24,2018,1270 RV,43,38,Democrats +5
Quinnipiac,4/20 - 4/24,2018,1193 RV,48,40,Democrats +8
Reuters/Ipsos,4/20 - 4/24,2018,1248 RV,45,34,Democrats +11
Economist/YouGov,4/15 - 4/17,2018,1274 RV,43,38,Democrats +5
NPR/PBS/Marist,4/10 - 4/13,2018,827 RV,44,39,Democrats +5
Reuters/Ipsos,4/13 - 4/17,2018,1238 RV,44,34,Democrats +10
ABC News/Wash Post,4/8 - 4/11,2018,865 RV,47,43,Democrats +4
NBC News/Wall St. Jrnl,4/8 - 4/11,2018,900 A,47,40,Democrats +7
Economist/YouGov,4/8 - 4/10,2018,1292 RV,44,36,Democrats +8
Rasmussen Reports,4/8 - 4/9,2018,1000 LV,45,40,Democrats +5
Quinnipiac,4/6 - 4/9,2018,1181 RV,46,43,Democrats +3
Reuters/Ipsos,4/6 - 4/10,2018,1219 RV,44,34,Democrats +10
Economist/YouGov,4/1 - 4/3,2018,1246 RV,43,36,Democrats +7
Reuters/Ipsos,3/30 - 4/3,2018,1519 RV,43,34,Democrats +9
Harvard-Harris,3/27 - 3/29,2018,1340 RV,45,34,Democrats +11
Reuters/Ipsos,3/23 - 3/27,2018,1392 RV,42,35,Democrats +7
Economist/YouGov,3/25 - 3/27,2018,1330 RV,42,35,Democrats +7
CNN,3/22 - 3/25,2018,913 RV,50,44,Democrats +6
PPP (D),3/23 - 3/25,2018,846 RV,50,39,Democrats +11
Marist,3/19 - 3/21,2018,1015 RV,44,39,Democrats +5
FOX News,3/18 - 3/21,2018,1014 RV,46,41,Democrats +5
Economist/YouGov,3/18 - 3/20,2018,1284 RV,44,38,Democrats +6
Quinnipiac,3/16 - 3/20,2018,1291 RV,49,43,Democrats +6
Reuters/Ipsos,3/16 - 3/20,2018,1337 RV,40,37,Democrats +3
NBC News/Wall St. Jrnl,3/10 - 3/14,2018,930 RV,50,40,Democrats +10
Economist/YouGov,3/10 - 3/13,2018,1291 RV,43,38,Democrats +5
Reuters/Ipsos,3/9 - 3/13,2018,1411 A,38,30,Democrats +8
GWU/Battleground,3/4 - 3/8,2018,1000 RV,49,40,Democrats +9
Economist/YouGov,3/4 - 3/6,2018,1310 RV,43,37,Democrats +6
Reuters/Ipsos,3/2 - 3/6,2018,2927 A,38,31,Democrats +7
Quinnipiac,3/3 - 3/5,2018,1122 RV,48,38,Democrats +10
Monmouth,3/2 - 3/5,2018,708 RV,50,41,Democrats +9
Rasmussen Reports,3/1 - 3/4,2018,1000 LV,46,40,Democrats +6
Economist/YouGov,2/25 - 2/27,2018,1296 RV,40,38,Democrats +2
Reuters/Ipsos,2/23 - 2/27,2018,1651 A,37,31,Democrats +6
USA Today/Suffolk,2/20 - 2/24,2018,1000 RV,47,32,Democrats +15
CNN,2/20 - 2/23,2018,909 RV,54,38,Democrats +16
Marist,2/20 - 2/21,2018,819 RV,46,39,Democrats +7
Economist/YouGov,2/18 - 2/20,2018,1308 RV,43,35,Democrats +8
Reuters/Ipsos,2/16 - 2/20,2018,1104 A,38,30,Democrats +8
Harvard-Harris,2/16 - 2/19,2018,1934 RV,41,36,Democrats +5
Quinnipiac,2/16 - 2/19,2018,1249 RV,53,38,Democrats +15
Economist/YouGov,2/11 - 2/13,2018,1280 RV,42,38,Democrats +4
Reuters/Ipsos,2/9 - 2/13,2018,1515 A,39,30,Democrats +9
PPP (D),2/9 - 2/11,2018,687 RV,49,41,Democrats +8
Marist,2/5 - 2/7,2018,807 RV,49,38,Democrats +11
Economist/YouGov,2/4 - 2/6,2018,1320 RV,43,37,Democrats +6
Reuters/Ipsos,2/2 - 2/6,2018,3110 A,38,31,Democrats +7
Quinnipiac,2/2 - 2/5,2018,1333 RV,49,40,Democrats +9
IBD/TIPP,1/25 - 2/2,2018,832 RV,46,41,Democrats +5
Monmouth,1/28 - 1/30,2018,711 RV,47,45,Democrats +2
Economist/YouGov,1/28 - 1/30,2018,1264 RV,42,37,Democrats +5
Reuters/Ipsos,1/26 - 1/30,2018,1856 A,37,31,Democrats +6
Rasmussen Reports,1/24 - 1/25,2018,1000 LV,45,37,Democrats +8
FOX News,1/21 - 1/23,2018,1002 RV,44,38,Democrats +6
Economist/YouGov,1/21 - 1/23,2018,1301 RV,41,37,Democrats +4
Quinnipiac,1/19 - 1/23,2018,1245 RV,51,38,Democrats +13
Reuters/Ipsos,1/19 - 1/23,2018,2981 A,38,30,Democrats +8
ABC News/Wash Post,1/15 - 1/18,2018,846 RV,51,39,Democrats +12
CNN,1/14 - 1/18,2018,RV,49,44,Democrats +5
NBC News/Wall St. Jrnl,1/13 - 1/17,2018,765 RV,49,43,Democrats +6
Economist/YouGov,1/14 - 1/16,2018,1311 RV,42,36,Democrats +6
Reuters/Ipsos,1/12 - 1/16,2018,1638 A,37,32,Democrats +5
Quinnipiac,1/12 - 1/16,2018,1212 RV,50,39,Democrats +11
Pew Research,1/10 - 1/15,2018,1215 RV,53,39,Democrats +14
NPR/PBS/Marist,1/8 - 1/10,2018,1092 RV,46,40,Democrats +6
Emerson,1/8 - 1/11,2018,600 RV,45,40,Democrats +5
Economist/YouGov,1/8 - 1/9,2018,1327 RV,44,37,Democrats +7
Quinnipiac,1/5 - 1/9,2018,1106 RV,52,35,Democrats +17
Reuters/Ipsos,1/5 - 1/9,2018,1616 A,40,31,Democrats +9
Economist/YouGov,12/24 - 12/26,2017,1004 RV,44,36,Democrats +8
Economist/YouGov,12/17 - 12/19,2017,1291 RV,44,35,Democrats +9
Reuters/Ipsos,12/15 - 12/19,2017,2492 A,39,27,Democrats +12
Quinnipiac,12/13 - 12/18,2017,1230 RV,52,37,Democrats +15
CNN,12/14 - 12/17,2017,898 RV,56,38,Democrats +18
NBC News/Wall St. Jrnl,12/13 - 12/15,2017,736 RV,50,39,Democrats +11
PPP (D),12/11 - 12/12,2017,862 RV,51,40,Democrats +11
Economist/YouGov,12/10 - 12/12,2017,1338 RV,44,36,Democrats +8
Monmouth,12/10 - 12/12,2017,702 RV,51,36,Democrats +15
Reuters/Ipsos,12/8 - 12/12,2017,1457 A,37,29,Democrats +8
Quinnipiac,12/6 - 12/11,2017,1211 RV,49,37,Democrats +12
Marist,12/4 - 12/7,2017,1079 RV,50,37,Democrats +13
Economist/YouGov,12/3 - 12/5,2017,1341 RV,42,36,Democrats +6
Reuters/Ipsos,12/1 - 12/5,2017,1548 A,37,31,Democrats +6
Quinnipiac,11/29 - 12/4,2017,1508 RV,50,36,Democrats +14
Economist/YouGov,11/26 - 11/28,2017,1319 RV,41,35,Democrats +6
Reuters/Ipsos,11/24 - 11/28,2017,1969 A,36,30,Democrats +6
Economist/YouGov,11/19 - 11/21,2017,1344 RV,42,33,Democrats +9
Reuters/Ipsos,11/17 - 11/22,2017,1489 A,37,28,Democrats +9
NPR/PBS/Marist,11/13 - 11/15,2017,802 RV,43,40,Democrats +3
Economist/YouGov,11/12 - 11/14,2017,1281 RV,42,34,Democrats +8
Reuters/Ipsos,11/10 - 11/14,2017,1520 A,38,31,Democrats +7
Quinnipiac,11/7 - 11/13,2017,1577 RV,51,38,Democrats +13
Marist,11/6 - 11/9,2017,850 RV,51,36,Democrats +15
Economist/YouGov,11/5 - 11/7,2017,1336 RV,40,33,Democrats +7
Reuters/Ipsos,11/3 - 11/7,2017,1572 A,38,30,Democrats +8
ABC News/Wash Post,10/29 - 11/1,2017,884 RV,51,40,Democrats +11
Economist/YouGov,10/29 - 10/31,2017,1291 RV,39,36,Democrats +3
Reuters/Ipsos,10/27 - 10/31,2017,1798 A,40,31,Democrats +9
PPP (D),10/27 - 10/29,2017,572 RV,50,40,Democrats +10
NBC News/Wall St. Jrnl,10/23 - 10/26,2017,753 RV,48,41,Democrats +7
Economist/YouGov,10/22 - 10/24,2017,1312 RV,40,33,Democrats +7
FOX News,10/22 - 10/24,2017,1005 RV,50,35,Democrats +15
Reuters/Ipsos,10/20 - 10/24,2017,2352 A,36,28,Democrats +8
Economist/YouGov,10/15 - 10/16,2017,1326 RV,41,33,Democrats +8
CNN,10/12 - 10/15,2017,RV,54,38,Democrats +16
Economist/YouGov,10/7 - 10/10,2017,1278 RV,40,33,Democrats +7
Quinnipiac,10/5 - 10/10,2017,1482 RV,49,41,Democrats +8
Economist/YouGov,10/1 - 10/3,2017,1298 RV,39,32,Democrats +7
Economist/YouGov,9/24 - 9/26,2017,1254 RV,40,34,Democrats +6
Quinnipiac,9/21 - 9/26,2017,1412 RV,47,38,Democrats +9
PPP (D),9/22 - 9/25,2017,865 RV,48,37,Democrats +11
Economist/YouGov,9/17 - 9/19,2017,1292 RV,39,33,Democrats +6
NBC News/Wall St. Jrnl,9/14 - 9/18,2017,751 RV,48,42,Democrats +6
Economist/YouGov,9/10 - 9/12,2017,1313 RV,40,31,Democrats +9
Economist/YouGov,9/3 - 9/5,2017,1309 RV,39,33,Democrats +6
Economist/YouGov,8/27 - 8/29,2017,1278 RV,40,32,Democrats +8
Economist/YouGov,8/20 - 8/22,2017,1327 RV,39,33,Democrats +6
Quinnipiac,8/17 - 8/22,2017,1514 RV,50,38,Democrats +12
PPP (D),8/18 - 8/21,2017,887 RV,49,35,Democrats +14
GWU/Battleground,8/13 - 8/17,2017,1000 RV,45,38,Democrats +7
Economist/YouGov,8/13 - 8/15,2017,1291 RV,41,33,Democrats +8
Quinnipiac,8/9 - 8/15,2017,1361 RV,50,40,Democrats +10
Marist,8/8 - 8/12,2017,883 RV,47,40,Democrats +7
Economist/YouGov,8/6 - 8/8,2017,1303 RV,39,34,Democrats +5
CNN,8/3 - 8/6,2017,RV,51,42,Democrats +9
Economist/YouGov,7/31 - 8/1,2017,1329 RV,39,34,Democrats +5
Quinnipiac,7/27 - 8/1,2017,1125 RV,52,38,Democrats +14
Economist/YouGov,7/23 - 7/25,2017,1282 RV,40,34,Democrats +6
Economist/YouGov,7/15 - 7/18,2017,1273 RV,40,34,Democrats +6
ABC News/Wash Post,7/10 - 7/13,2017,RV,52,38,Democrats +14
Economist/YouGov,7/9 - 7/11,2017,1284 RV,39,32,Democrats +7
Economist/YouGov,7/3 - 7/4,2017,1323 RV,37,35,Democrats +2
FOX News,6/25 - 6/27,2017,1017 RV,47,41,Democrats +6
Economist/YouGov,6/25 - 6/27,2017,1295 RV,41,35,Democrats +6
Quinnipiac,6/22 - 6/27,2017,1212 RV,51,41,Democrats +10
NPR/PBS/Marist,6/21 - 6/25,2017,995 RV,48,38,Democrats +10
Economist/YouGov,6/18 - 6/20,2017,1277 RV,38,35,Democrats +3
NBC News/Wall St. Jrnl,6/17 - 6/20,2017,765 RV,50,42,Democrats +8
Economist/YouGov,6/11 - 6/13,2017,1310 RV,38,36,Democrats +2
PPP (D),6/9 - 6/11,2017,811 RV,50,40,Democrats +10
Economist/YouGov,6/4 - 6/6,2017,1288 RV,41,37,Democrats +4
Quinnipiac,5/31 - 6/6,2017,1361 RV,51,39,Democrats +12
Economist/YouGov,5/27 - 5/30,2017,1269 RV,39,33,Democrats +6
Quinnipiac,5/4 - 5/9,2017,1078 RV,54,38,Democrats +16
Economist/YouGov,5/20 - 5/23,2017,1276 RV,38,36,Democrats +2
Economist/YouGov,5/13 - 5/16,2017,1298 RV,40,33,Democrats +7
PPP (D),5/12 - 5/14,2017,692 RV,49,38,Democrats +11
Economist/YouGov,5/6 - 5/9,2017,1287 RV,40,35,Democrats +5
Economist/YouGov,4/29 - 5/2,2017,1255 RV,38,35,Democrats +3
FOX News,4/23 - 4/25,2017,1009 RV,47,42,Democrats +5
Economist/YouGov,4/23 - 4/25,2017,1289 RV,39,34,Democrats +5
CNN/ORC,4/22 - 4/25,2017,RV,49,41,Democrats +8
NBC News/Wall St. Jrnl,4/17 - 4/20,2017,759 RV,47,43,Democrats +4
PPP (D),4/17 - 4/18,2017,648 RV,47,41,Democrats +6
Economist/YouGov,4/15 - 4/18,2017,1291 RV,38,32,Democrats +6
Marist,4/11 - 4/12,2017,869 RV,45,38,Democrats +7
PPP (D),3/27 - 3/28,2017,677 RV,48,43,Democrats +5
McClatchy/Marist,3/22 - 3/27,2017,906 RV,47,38,Democrats +9
PPP (D),3/10 - 3/12,2017,808 RV,46,41,Democrats +5
PPP (D),2/21 - 2/22,2017,941 RV,46,43,Democrats +3
PPP (D),1/23 - 1/24,2017,1043 RV,48,40,Democrats +8
